id_pedido,id_produto,id_loja,nome_produto,categoria_produto,cidade,data_venda,quantidade_vendida,valor_venda
1,40,4,PowerPro,Ferramentas Criativas,São Paulo,17/12/2024,5,306.95
2,44,3,CodeCode,Ferramentas de Desenvolvimento,São Paulo,08/07/2024,5,283.78
3,60,5,CodeCode,Ferramentas Educacionais,São Paulo,06/05/2023,6,38.45
4,64,3,LostFost,Ferramentas Criativas,Belo Horizonte,01/07/2023,8,295.01
5,48,1,CodeCode,Ferramentas de Desenvolvimento,São Paulo,24/03/2024,6,294.35
6,55,3,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,04/02/2024,6,158.57
7,94,3,LostFost,Ferramentas Educacionais,Rio de Janeiro,06/05/2023,2,28.01
8,89,1,HargenXtudio,Ferramentas Criativas,São Paulo,03/06/2024,18,170.48
9,46,1,CodeCode,Ferramentas Criativas,Rio de Janeiro,03/06/2024,8,59.48
10,26,3,LostFost,Ferramentas de Desenvolvimento,São Paulo,26/05/2024,20,363.71
11,92,3,CodeCode,Ferramentas Criativas,Belo Horizonte,25/09/2022,17,398.96
12,51,4,HargenXtudio,Ferramentas Criativas,Belo Horizonte,25/12/2022,20,409.33
13,64,1,LostFost,Ferramentas Educacionais,Belo Horizonte,17/10/2023,10,10.73
14,69,1,UI/UX-K,Ferramentas Criativas,Belo Horizonte,12/07/2024,6,354.4
15,83,3,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,25/11/2022,4,212.05
16,68,3,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,12/01/2024,20,440.0
17,72,3,PowerPro,Ferramentas Educacionais,Belo Horizonte,11/05/2023,6,123.15
18,61,4,LostFost,Ferramentas Criativas,São Paulo,13/02/2024,8,112.99
19,90,2,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,18/05/2023,11,186.21
20,51,2,LostFost,Ferramentas Educacionais,Rio de Janeiro,16/09/2022,4,245.65
21,56,2,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,19/11/2023,16,152.43
22,25,3,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,05/11/2022,16,494.01
23,77,5,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,27/06/2022,6,126.01
24,45,2,CodeCode,Ferramentas Criativas,Belo Horizonte,06/02/2022,7,425.98
25,26,5,CodeCode,Ferramentas de Desenvolvimento,São Paulo,03/05/2024,17,186.79
26,57,1,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,22/08/2022,7,139.92
27,78,4,PowerPro,Ferramentas Criativas,Belo Horizonte,18/02/2023,14,56.17
28,12,4,HargenXtudio,Ferramentas Educacionais,São Paulo,24/09/2024,20,116.97
29,79,5,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,03/06/2022,17,178.49
30,28,2,PowerPro,Ferramentas de Desenvolvimento,São Paulo,06/11/2022,11,290.19
31,79,4,HargenXtudio,Ferramentas Criativas,São Paulo,18/11/2024,1,98.76
32,98,5,LostFost,Ferramentas Educacionais,São Paulo,24/03/2022,8,499.05
33,57,5,UI/UX-K,Ferramentas Criativas,São Paulo,06/09/2022,11,485.18
34,47,4,UI/UX-K,Ferramentas Educacionais,São Paulo,21/05/2023,20,369.42
35,32,1,PowerPro,Ferramentas Criativas,Rio de Janeiro,08/01/2022,9,185.31
36,82,1,UI/UX-K,Ferramentas Educacionais,São Paulo,14/07/2023,19,212.72
37,54,2,HargenXtudio,Ferramentas Criativas,São Paulo,08/11/2023,8,231.3
38,78,5,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,23/01/2022,1,495.13
39,22,2,HargenXtudio,Ferramentas Criativas,São Paulo,15/07/2022,5,304.27
40,78,5,PowerPro,Ferramentas Criativas,São Paulo,14/12/2023,8,91.33
41,37,5,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,02/04/2023,11,296.18
42,57,2,LostFost,Ferramentas Criativas,São Paulo,14/04/2024,11,106.26
43,54,5,UI/UX-K,Ferramentas Criativas,São Paulo,23/08/2022,12,60.39
44,34,3,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,02/12/2022,7,81.54
45,54,4,PowerPro,Ferramentas Criativas,Rio de Janeiro,31/07/2024,3,436.82
46,87,3,PowerPro,Ferramentas Criativas,São Paulo,16/11/2023,11,26.87
47,69,3,UI/UX-K,Ferramentas Criativas,Rio de Janeiro,25/01/2023,19,117.65
48,32,5,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,22/03/2022,18,200.24
49,33,1,UI/UX-K,Ferramentas Criativas,Rio de Janeiro,11/01/2024,11,154.26
50,96,1,LostFost,Ferramentas Criativas,Belo Horizonte,21/06/2022,14,495.27
51,67,2,HargenXtudio,Ferramentas Educacionais,São Paulo,11/10/2023,2,252.68
52,75,1,PowerPro,Ferramentas Educacionais,Rio de Janeiro,24/05/2024,12,362.53
53,54,2,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,13/12/2022,8,78.71
54,30,3,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,15/05/2023,11,387.81
55,15,3,LostFost,Ferramentas Criativas,Rio de Janeiro,24/05/2023,11,23.11
56,46,5,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,31/10/2024,6,384.57
57,36,1,UI/UX-K,Ferramentas Educacionais,Rio de Janeiro,26/09/2023,1,439.56
58,76,5,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,09/01/2024,14,293.66
59,97,4,LostFost,Ferramentas Educacionais,Rio de Janeiro,17/03/2023,14,24.7
60,72,4,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,20/04/2023,16,115.41
61,59,5,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,23/07/2022,11,26.12
62,25,3,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,28/09/2024,1,346.1
63,56,4,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,11/09/2024,6,405.14
64,42,4,CodeCode,Ferramentas de Desenvolvimento,Rio de Janeiro,24/03/2023,19,293.0
65,72,5,UI/UX-K,Ferramentas de Desenvolvimento,Belo Horizonte,20/04/2022,18,310.52
66,67,1,CodeCode,Ferramentas Educacionais,Rio de Janeiro,01/01/2023,16,337.09
67,31,5,PowerPro,Ferramentas de Desenvolvimento,Rio de Janeiro,07/03/2023,12,169.35
68,81,4,HargenXtudio,Ferramentas Educacionais,Rio de Janeiro,18/11/2023,20,376.84
69,59,3,UI/UX-K,Ferramentas Educacionais,Rio de Janeiro,13/09/2024,10,238.74
70,77,3,LostFost,Ferramentas de Desenvolvimento,São Paulo,24/03/2022,2,207.25
71,17,2,HargenXtudio,Ferramentas de Desenvolvimento,Rio de Janeiro,21/04/2022,13,199.38
72,24,3,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,27/03/2022,11,333.34
73,51,3,LostFost,Ferramentas de Desenvolvimento,Rio de Janeiro,10/12/2023,14,318.1
74,51,4,HargenXtudio,Ferramentas Criativas,São Paulo,28/04/2022,12,37.58
75,87,1,LostFost,Ferramentas Educacionais,Belo Horizonte,16/03/2022,12,344.22
76,99,4,LostFost,Ferramentas de Desenvolvimento,Belo Horizonte,27/04/2024,15,70.92
77,30,1,UI/UX-K,Ferramentas Criativas,Belo Horizonte,01/06/2024,19,158.16
78,23,4,PowerPro,Ferramentas Criativas,Belo Horizonte,05/04/2022,7,310.58
79,86,3,LostFost,Ferramentas Criativas,Rio de Janeiro,28/02/2022,20,155.91
80,49,5,UI/UX-K,Ferramentas de Desenvolvimento,Rio de Janeiro,17/08/2023,10,495.95
81,62,4,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,30/03/2022,13,446.39
82,89,4,UI/UX-K,Ferramentas Educacionais,Belo Horizonte,06/04/2023,7,135.02
83,51,5,HargenXtudio,Ferramentas Educacionais,Belo Horizonte,26/11/2024,4,76.04
84,29,5,HargenXtudio,Ferramentas Criativas,Belo Horizonte,21/12/2023,3,88.02
85,11,5,UI/UX-K,Ferramentas Criativas,São Paulo,04/07/2022,17,41.25
86,96,4,LostFost,Ferramentas Educacionais,Rio de Janeiro,14/08/2022,9,395.75
87,36,4,LostFost,Ferramentas de Desenvolvimento,São Paulo,30/10/2022,5,248.75
88,43,1,PowerPro,Ferramentas Criativas,São Paulo,02/09/2024,2,30.22
89,90,4,PowerPro,Ferramentas Educacionais,Belo Horizonte,13/04/2024,11,248.07
90,41,3,CodeCode,Ferramentas de Desenvolvimento,Belo Horizonte,18/10/2024,12,277.12
91,23,1,PowerPro,Ferramentas Criativas,Belo Horizonte,24/05/2023,17,101.59
92,56,1,UI/UX-K,Ferramentas Criativas,Rio de Janeiro,07/07/2023,10,212.6
93,70,3,PowerPro,Ferramentas de Desenvolvimento,Belo Horizonte,14/06/2024,16,417.72
94,94,2,UI/UX-K,Ferramentas de Desenvolvimento,São Paulo,25/03/2023,15,297.42
95,62,2,HargenXtudio,Ferramentas de Desenvolvimento,Belo Horizonte,12/07/2023,4,475.28
96,87,4,UI/UX-K,Ferramentas Criativas,São Paulo,15/08/2023,10,193.37
97,77,3,HargenXtudio,Ferramentas Criativas,São Paulo,30/08/2022,14,492.85
98,95,4,UI/UX-K,Ferramentas Criativas,Belo Horizonte,28/09/2023,18,92.77
99,78,1,CodeCode,Ferramentas Criativas,São Paulo,31/03/2022,1,489.43
100,18,1,LostFost,Ferramentas Educacionais,Rio de Janeiro,25/09/2024,10,19.09
101,65,2,CodeCode,Ferramentas Educacionais,Belo Horizonte,10/11/2024,4,404.35
102,34,1,UI/UX-K,Ferramentas Educacionais,São Paulo,11/06/2022,6,411.66
103,74,1,CodeCode,Ferramentas Educacionais,São Paulo,11/03/2024,2,67.19
